Name,Latitude,Longitude,Votes,Rating,Type,City
Michael's of Brooklyn,40.6076329987397,-73.9428921973385,219,4.5,italian,ny
Bar Pitti,40.729047,-74.002153,1014,3.5,italian,ny
Felice 64,40.76256,-73.9596,309,3.5,italian,ny
Numero 28 Pizzeria Napoletana,40.73041,-73.98595,519,4.0,italian,ny
il Buco Alimentari & Vineria,40.7264539,-73.992549,531,3.5,italian,ny
Cornerstone Cafe,40.7220618263077,-73.983249573445,1105,4.0,italian,ny
Trattoria Pesce Pasta,40.73115,-74.00319,232,4.0,italian,ny
Attraversa,40.71922,-74.00603,50,4.5,italian,ny
Joanne Trattoria,40.77456,-73.98027,492,3.5,italian,ny
Waldy's Wood Fired Pizza & Penne,40.7457666039821,-73.9906402533629,803,4.0,italian,ny
Rossini's,40.74921,-73.97883,195,4.0,italian,ny
