Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Il Primo Pizza and Wings II
                                    ", 6037 North Fry Road 77449,Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Pizza Hut
                                    ", 32826 FM 2978,",",,Cost for two:$20,,,Italian,Houston
"Giannina’s Pizza
                                    "," 9740 Barker Cypress Rd, Ste 115, Cypress",Cuisines: ,,Cost for two:$20,,,Italian,Houston
"Yia Yia Mary's
                                    ", 4747 San Felipe 77056,359 votes,4.4,Cost for two:$85,-95.4575912,29.7480469,Mediterranean,Houston
"Aladdin Mediterranean Cuisine
                                    "," 912 Westheimer Road, Houston 77006",194 votes,4.5,Cost for two:$30,-95.391082,29.7448812,Mediterranean,Houston
"Ephesus Mediterranean Grill
                                    "," 510 S Mason Road, Katy 77450",196 votes,4.9,Cost for two:$75,-95.7433756,29.7062785,Mediterranean,Houston
"Istanbul Grill & Deli
                                    "," 5613 Morningside Drive, Houston 77005",141 votes,4.2,Cost for two:$40,-95.4145934,29.7155954,Mediterranean,Houston
"Fadi's Meyerland Mediterranean Grill
                                    "," 4738 Beechnut Street, Houston 77096",153 votes,4.6,Cost for two:$35,-95.4602323,29.6896336,Mediterranean,Houston
"Dimassi's Mediterranean Buffet
                                    "," 1640 Lake Woodlands Drive, The Woodlands 77380",87 votes,4,Cost for two:$75,-95.4595157,30.1674402,Mediterranean,Houston
"Mediterraneo Market & Cafe
                                    ", 18033 Upper Bay Road 77058,75 votes,4.2,Cost for two:$75,-95.0888971,29.5501725,Mediterranean,Houston
"Alexander the Great
                                    ", 3055 Sage Road 77056,74 votes,3.9,Cost for two:$60,-95.4661905,29.735064,Mediterranean,Houston
"Bibi's House of Kabob
                                    "," 3121 Center Street, Deer Park 77536",63 votes,4.3,Cost for two:$25,-95.1230325,29.6829887,Mediterranean,Houston
"Lama Mediterranean Cafe
                                    "," 1500 Research Forest Drive, Suite 100, The Woodlands 77381",56 votes,4.2,Cost for two:$75,-95.4595567,30.1783639,Mediterranean,Houston
"Alwadi Mediterranean Sandwiches
                                    "," 15655 John F. Kennedy Boulevard, Suite J 77032",55 votes,4,Cost for two:$25,-95.3330447,29.9441846,Mediterranean,Houston
"Empire Turkish Grill
                                    "," 12448 Memorial Drive, Houston 77024",67 votes,3.8,Cost for two:$75,-95.5491364,29.7667038,Mediterranean,Houston
"Wael's Mediterranean Cuisine
                                    "," 2449 Bay Area Boulevard, Houston 77058",61 votes,4.2,Cost for two:$25,-95.1096005,29.5746802,Mediterranean,Houston
"Manny's Cafe
                                    "," 8475 Hwy 6 N, Houston 77095",48 votes,4.2,Cost for two:$25,-95.6359783,29.9020166,Mediterranean,Houston
Hugo's              ," 1600 Westheimer Road, Houston 77006",553 votes,4.5,Cost for two:$90,-95.3996202,29.7429555,Mexican,Houston
